"Realized Gain/Loss - Lot Details for Monica as of Mon Jan 19  18:57:33 EDT 2026 from 01/01/2026 to 01/19/2026","","","","","","","","","","","","","","","","","","","","","","","",""
"Symbol","Name","Closed Date","Opened Date","Quantity","Proceeds Per Share","Cost Per Share","Proceeds","Cost Basis (CB)","Gain/Loss ($)","Gain/Loss (%)","Long Term Gain/Loss","Short Term Gain/Loss","Term","Unadjusted Cost Basis","Wash Sale?","Disallowed Loss","Transaction Closed Date","Transaction Cost Basis","Total Transaction Gain/Loss ($)","Total Transaction Gain/Loss (%)","LT Transaction Gain/Loss ($)","LT Transaction Gain/Loss (%)","ST Transaction Gain/Loss ($)","ST Transaction Gain/Loss (%)"
"UNH","UNITEDHEALTH GROUP I","01/12/2026","09/18/2025","1","$339.92","$343.70","$339.92","$343.70","-$3.78","-1.099796334012%","","-$3.78","Short Term","$343.70","No","","01/12/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/09/2026","10/27/2025","90","$19.25","$21.35","$1,732.26","$1,921.65","-$189.39","-9.855592849895%","","-$189.39","Short Term","$1,921.65","No","","01/09/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/09/2026","10/15/2025","100","$19.25","$22.39","$1,924.74","$2,238.98","-$314.24","-14.034962348927%","","-$314.24","Short Term","$2,238.98","No","","01/09/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/09/2026","10/10/2025","10","$19.25","$24.10","$192.47","$241.00","-$48.53","-20.136929460581%","","-$48.53","Short Term","$241.00","No","","01/09/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/09/2026","11/07/2025","100","$18.83","$17.89","$1,883.14","$1,788.79","$94.35","5.274515175062%","","$94.35","Short Term","$1,788.79","No","","01/09/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/09/2026","11/05/2025","100","$18.83","$17.82","$1,883.14","$1,781.50","$101.64","5.705304518664%","","$101.64","Short Term","$1,781.50","No","","01/09/2026","","","","","","",""
"CCCX","CHURCHILL CAPITAL A","01/09/2026","10/27/2025","10","$18.83","$21.35","$188.31","$213.52","-$25.21","-11.806856500562%","","-$25.21","Short Term","$213.52","No","","01/09/2026","","","","","","",""
"DASH","DOORDASH INC A","01/09/2026","11/10/2025","35","$213.51","$206.86","$7,472.84","$7,240.03","$232.81","3.21559441052%","","$232.81","Short Term","$7,240.03","No","","01/09/2026","","","","","","",""
"META","META PLATFORMS INC A","01/08/2026","11/02/2025","1","$645.44","$615.92","$645.44","$615.92","$29.52","4.792830237693%","","$29.52","Short Term","$615.92","No","","01/08/2026","$608.47","$36.97","6.075895278321%","","","$36.97","6.075895278321034%"
"MU","MICRON TECHNOLOGY IN","01/08/2026","11/17/2025","5","$334.52","$241.53","$1,672.60","$1,207.67","$464.93","38.498099646427%","","$464.93","Short Term","$1,207.67","No","","01/08/2026","$4,677.68","$2,012.72","43.028167809683%","","","$2,012.72","43.02816780968344%"
"MU","MICRON TECHNOLOGY IN","01/08/2026","11/10/2025","10","$334.52","$240.11","$3,345.20","$2,401.10","$944.10","39.319478572321%","","$944.10","Short Term","$2,401.10","No","","01/08/2026","$4,677.68","$2,012.72","43.028167809683%","","","$2,012.72","43.02816780968344%"
"MU","MICRON TECHNOLOGY IN","01/08/2026","11/07/2025","5","$334.52","$238.24","$1,672.60","$1,191.22","$481.38","40.410671412501%","","$481.38","Short Term","$1,191.22","No","","01/08/2026","$4,677.68","$2,012.72","43.028167809683%","","","$2,012.72","43.02816780968344%"
"MU","MICRON TECHNOLOGY IN","01/08/2026","11/23/2025","10","$329.84","$226.87","$3,298.40","$2,268.69","$1,029.71","45.387867006951%","","$1,029.71","Short Term","$2,268.69","No","","01/08/2026","$3,384.04","$1,563.56","46.203945579839%","","","$1,563.56","46.20394557983948%"
"MU","MICRON TECHNOLOGY IN","01/08/2026","11/07/2025","5","$329.84","$238.24","$1,649.20","$1,191.21","$457.99","38.447460985049%","","$457.99","Short Term","$1,191.21","No","","01/08/2026","$3,384.04","$1,563.56","46.203945579839%","","","$1,563.56","46.20394557983948%"
"FUTU","FUTU HLDGS LTD ADR","01/07/2026","11/13/2025","30","$178.26","$182.86","$5,347.95","$5,485.80","-$137.85","-2.512851361697%","","-$137.85","Short Term","$5,485.80","No","","01/07/2026","","","","","","",""
"FUTU","FUTU HLDGS LTD ADR","01/07/2026","11/10/2025","40","$178.26","$188.29","$7,130.59","$7,531.76","-$401.17","-5.326377898393%","","-$401.17","Short Term","$7,531.76","No","","01/07/2026","","","","","","",""
"AMD","ADVANCED MICRO DEVIC","01/06/2026","12/18/2025","10","$213.20","$202.42","$2,132.00","$2,024.16","$107.84","5.32764208363%","","$107.84","Short Term","$2,024.16","No","","01/06/2026","$10,089.97","$570.02","5.649372594765%","","","$570.02","5.649372594764889%"
"AMD","ADVANCED MICRO DEVIC","01/06/2026","12/18/2025","40","$213.20","$205.65","$8,527.99","$8,225.94","$302.05","3.671920777443%","","$302.05","Short Term","$8,225.94","No","","01/06/2026","$10,089.97","$570.02","5.649372594765%","","","$570.02","5.649372594764889%"
"AMD","ADVANCED MICRO DEVIC","01/06/2026","12/18/2025","10","$211.97","$202.42","$2,119.70","$2,024.16","$95.54","4.71998261007%","","$95.54","Short Term","$2,024.16","No","","01/06/2026","","","","","","",""
"AMD","ADVANCED MICRO DEVIC","01/06/2026","12/18/2025","10","$211.97","$201.65","$2,119.70","$2,016.45","$103.25","5.120384834734%","","$103.25","Short Term","$2,016.45","No","","01/06/2026","","","","","","",""
"AMD","ADVANCED MICRO DEVIC","01/05/2026","01/05/2026","40","$222.27","$226.27","$8,890.79","$9,050.92","$0.00","0%","","$0.00","Short Term","$9,050.92","Yes","$160.13","01/05/2026","","","","","","",""
"AMD","ADVANCED MICRO DEVIC","01/05/2026","12/18/2025","30","$222.27","$202.42","$6,668.10","$6,072.47","$595.63","9.808693991078%","","$595.63","Short Term","$6,072.47","No","","01/05/2026","","","","","","",""
"MU","MICRON TECHNOLOGY IN","01/05/2026","11/17/2025","5","$313.53","$241.54","$1,567.65","$1,207.68","$359.97","29.806736883943%","","$359.97","Short Term","$1,207.68","No","","01/05/2026","$6,038.38","$1,799.87","29.80716682289%","","","$1,799.87","29.8071668228896%"
"MU","MICRON TECHNOLOGY IN","01/05/2026","11/06/2025","20","$313.53","$247.47","$6,270.60","$4,949.37","$1,321.23","26.694912685857%","","$1,321.23","Short Term","$4,949.37","No","","01/05/2026","$6,038.38","$1,799.87","29.80716682289%","","","$1,799.87","29.8071668228896%"
